zipcode,room_type,accommodates,bedrooms,bathrooms,beds,minimum_nights,number_of_reviews,price,price_bin
94117,Private room,2,1.0,4.0,1.0,32,11,65.0,bin 50-100
94110,Entire home/apt,2,1.0,1.0,1.0,30,89,97.0,bin 50-100
94110,Private room,2,1.0,1.0,1.0,1,134,69.0,bin 50-100
94123,Entire home/apt,4,2.0,1.0,2.0,4,72,300.0,bin 250-300
94122,Entire home/apt,2,1.0,1.5,1.0,30,14,150.0,bin 100-150
94133,Entire home/apt,3,1.0,1.0,1.0,30,67,150.0,bin 100-150
94114,Private room,2,1.0,1.0,1.0,5,67,150.0,bin 100-150
94121,Entire home/apt,4,2.0,1.0,2.0,5,199,206.0,bin 200-250
94110,Private room,2,1.0,1.0,2.0,2,146,85.0,bin 50-100
94131,Entire home/apt,4,2.0,1.5,4.0,30,108,230.0,bin 200-250
94114,Entire home/apt,6,2.0,1.0,4.0,5,19,275.0,bin 250-300
94123,Entire home/apt,2,1.0,1.0,1.0,60,110,165.0,bin 150-200
94131,Entire home/apt,2,1.0,1.0,2.0,30,180,115.0,bin 100-150
94110,Entire home/apt,4,2.0,1.0,2.0,30,120,148.0,bin 100-150
94107,Private room,2,1.0,1.0,1.0,3,237,75.0,bin 50-100
94121,Entire home/apt,2,1.0,1.0,1.0,30,241,85.0,bin 50-100
94127,Private room,3,1.0,1.0,1.0,3,378,69.0,bin 50-100
94114,Entire home/apt,4,1.0,1.0,2.0,30,159,220.0,bin 200-250
94117,Entire home/apt,2,1.0,1.0,1.0,30,157,185.0,bin 150-200
94104,Entire home/apt,2,0.0,1.0,2.0,30,24,110.0,bin 100-150
94104,Entire home/apt,2,0.0,1.0,2.0,30,51,135.0,bin 100-150
94112,Private room,2,1.0,1.0,1.0,30,11,36.0,bin 0-50
94133,Entire home/apt,4,2.0,1.0,2.0,30,64,135.0,bin 100-150
94131,Entire home/apt,4,2.0,1.0,2.0,3,250,220.0,bin 200-250
94117,Entire home/apt,2,1.0,1.0,1.0,2,498,138.0,bin 100-150
94110,Private room,1,1.0,1.5,1.0,4,203,80.0,bin 50-100
94111,Entire home/apt,2,1.0,1.0,1.0,30,2,182.0,bin 150-200
94117,Entire home/apt,4,1.0,1.5,2.0,30,213,136.0,bin 100-150
94108,Shared room,1,1.0,2.5,1.0,30,9,30.0,bin 0-50
94108,Shared room,1,1.0,2.5,1.0,30,6,30.0,bin 0-50
94108,Shared room,1,1.0,2.5,1.0,30,3,30.0,bin 0-50
94131,Entire home/apt,8,3.0,1.0,5.0,2,400,295.0,bin 250-300
94121,Private room,1,1.0,2.5,1.0,30,29,79.0,bin 50-100
94133,Entire home/apt,2,1.0,1.0,1.0,3,482,165.0,bin 150-200
94117,Private room,2,1.0,2.0,1.0,1,490,92.0,bin 50-100
94110,Entire home/apt,4,2.0,2.0,1.0,5,11,195.0,bin 150-200
94117,Private room,4,1.0,2.0,2.0,1,458,98.0,bin 50-100
94117,Private room,2,1.0,2.0,1.0,1,509,78.0,bin 50-100
94114,Entire home/apt,6,3.0,2.0,3.0,30,38,325.0,bin 300-350
94110,Entire home/apt,2,1.0,1.0,1.0,5,49,147.0,bin 100-150
94117,Entire home/apt,4,0.0,1.0,3.0,30,45,80.0,bin 50-100
94117,Private room,2,1.0,2.0,1.0,1,444,78.0,bin 50-100
94133,Private room,6,1.0,2.5,1.0,2,212,139.0,bin 100-150
94110,Entire home/apt,2,1.0,1.0,1.0,2,116,145.0,bin 100-150
94114,Private room,2,1.0,1.0,1.0,3,191,99.0,bin 50-100
